Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Sales growth 3Years,Profit growth 3Years,Average return on capital employed 3Years,Average return on equity 3Years,YOY Quarterly sales growth,YOY Quarterly opm growth,YOY Quarterly profit growth,Return over 10years,Profit growth 10Years
Reliance Industr,500325,RELIANCE,Refineries,2500.75,1692021.83,7.19,13.95,9.46,8.61,38.64,-3.07,28.76,21.44,12.12
TCS,532540,TCS,Computers - Software - Large,3292.95,1204834.50,9.40,6.84,50.46,39.99,15.76,-6.56,7.35,18.22,13.94
HDFC Bank,500180,HDFCBANK,Banks - Private Sector,1353.90,750816.21,8.93,19.42,6.41,16.54,9.10,10.39,23.82,17.42,21.90
Infosys,500209,INFY,Computers - Software - Large,1442.05,606446.80,13.74,12.88,35.11,27.24,22.67,-12.02,12.02,16.80,10.19
Hind. Unilever,500696,HINDUNILVR,Personal Care - Multinational,2303.55,541456.43,10.09,12.82,37.78,28.42,10.73,-2.00,4.05,17.72,12.99
ICICI Bank,532174,ICICIBANK,Banks - Private Sector,713.65,496114.22,9.85,80.71,5.89,12.74,12.11,166.02,57.98,16.61,12.63
Life Insurance,543526,LICI,Finance & Investments,661.70,418682.46,8.76,14.57,257.47,76.37,11.77,-50.25,-18.04,,
St Bk of India,500112,SBIN,Banks - Public Sector,454.35,405534.64,4.61,153.78,4.64,9.33,9.66,46.83,55.89,7.95,8.69
H D F C,500010,HDFC,Finance - Housing,2189.15,397218.82,12.41,11.66,9.56,14.65,-1.94,12.12,20.72,13.03,15.26
Bharti Airtel,532454,BHARTIARTL,Telecommunications - Service Provider,671.20,379862.61,13.00,156.20,9.94,2.85,22.34,6.30,170.54,9.30,-1.23
Bajaj Finance,500034,BAJFINANCE,Finance & Investments,5587.75,338329.77,19.61,20.74,10.43,16.56,25.92,14.74,79.67,51.98,
Kotak Mah. Bank,500247,KOTAKBANK,Banks - Private Sector,1697.75,336578.67,4.19,18.91,6.83,13.70,11.15,102.10,50.30,19.32,20.76
ITC,500875,ITC,Cigarettes,265.80,327428.82,7.85,6.30,31.59,23.52,15.43,-0.41,11.72,4.90,9.52
Adani Green,541450,ADANIGREEN,Power Generation And Supply,1856.65,293960.33,35.62,42.83,8.70,22.24,48.17,4.79,13.80,,
Asian Paints,500820,ASIANPAINT,Paints / Varnishes,2760.90,264786.51,14.79,12.80,32.55,25.75,18.66,-7.72,9.22,22.07,12.30
HCL Technologies,532281,HCLTECH,Computers - Software - Large,966.55,262235.29,12.33,10.54,26.17,21.77,15.05,-3.45,226.04,23.70,23.45
Maruti Suzuki,532500,MARUTI,Automobiles - Passenger Cars,8355.20,252284.07,0.87,-13.39,7.58,6.13,11.30,9.40,51.14,22.34,9.99
