Company,BSE code,NSE code,ISIN,Sector,Industry,Date,Price,1 day change(%),52 Week Low,52 Week High,Market Cap(Cr),Enterprise Value(Cr)
20 Microns Ltd.,533022,20MICRONS,INE144J01027,Metals & Mining,Minerals,2022-06-16,68.9,-5.68,48.45,108.25,243.83,349.58
3I Infotech Ltd.,532628,3IINFOLTD,INE748C01038,Technology,Software,2022-06-16,41.8,-3.8,6.65,119.4,708.05,576.65
3M India Ltd.,523395,3MINDIA,INE470A01017,Diversified,Diversified,2022-06-16,"19,875.35",-1.99,"17,273.00","27,800.00","22,421.71","21,713.75"
3P Land Holdings Ltd.,516092,3PLAND,INE105C01023,Financial,Investment Services,2022-06-16,14.1,2.17,12.1,26.3,24.66,25.48
3rd Rock Multimedia Ltd.,,3RDROCK,INE768P01012,Services,Media & Entertainment,2022-05-09,64.6,-0.77,,,145.5,144.23
52 Weeks Entertainment Ltd.,531925,,INE545N01019,Services,Media & Entertainment,2022-06-16,1.9,-2.06,1.26,4.68,6.63,10.19
5Paisa Capital Ltd.,540776,5PAISA,INE618L01018,Financial,Brokerage Services,2022-06-16,287.45,-5.16,283,580,846.67,596.18
63 Moons Technologies Ltd.,526881,63MOONS,INE111B01023,Technology,Software,2022-06-16,158.1,-4.99,87.1,373.7,728.27,-597.66
7NR Retail Ltd.,540615,,INE413X01027,Services,Trading,2022-06-16,1.64,-4.65,0.65,2.93,17.18,17.31
7Seas Entertainment Ltd.,540874,,INE454F01010,Technology,Software,2022-06-16,18.6,-4.62,9.48,31.15,28.76,34.82
A-1 Acid Ltd.,542012,,INE911Z01017,Services,Trading,2022-06-16,294.95,-0.02,95.65,296,333.5,355.39
A2Z Infra Engineering Ltd.,533292,A2ZINFRA,INE619I01012,Capital Goods,Transformers,2022-06-16,10.75,-4.44,3.95,16.15,189.68,708.23
AAA Technologies Ltd.,,AAATECH,INE0D0U01013,Services,Business Services,2022-06-16,68,-0.73,,,58.15,52.91
Aadi Industries Ltd.,530027,,INE563D01013,Materials,Other Plastic Products,2022-06-16,6.46,-0.77,1.28,16.64,6.46,13.27
Aakash Exploration Services Ltd.,,AAKASH,INE087Z01024,Energy,Oil & Gas Exploration,2022-06-16,21.35,-2.95,,,211.61,236.63
Aananda Lakshmi Spinning Mills Ltd.,539096,,INE197R01010,Textiles,Textile Processing,2022-06-16,9.13,-4.8,2.83,15.39,3.19,34.76
Aanchal Ispat Ltd.,538812,,INE322R01014,Metals & Mining,Stainless Steel,2022-06-16,12.12,-4.94,4.55,24.5,25.27,97.06
AA Plus Tradelink Ltd.,543319,,INE0C5901014,Services,Trading,2022-06-09,6.61,6.1,6,17.5,5.4,6.51
Aarey Drugs & Pharmaceuticals Ltd.,524412,AAREYDRUGS,INE198H01019,Healthcare,Drugs & Pharma,2022-06-16,31.85,-5.49,31.15,64.4,81.23,103.17
Aarnav Fashions Ltd.,539562,,INE750R01016,Financial,Investment Services,2022-06-16,42.85,-8.24,42,202.25,66.7,70.1
Aaron Industries Ltd.,,AARON,INE721Z01010,Capital Goods,Industrial Machinery,2022-06-16,111.6,-2.75,,,115.05,122.22
Aartech Solonics Ltd.,542580,,INE01C001018,Capital Goods,Electronic Equipment,2022-06-13,19.05,-4.51,19.05,56.45,20.17,14.17
Aarti Drugs Ltd.,524348,AARTIDRUGS,INE767A01016,Healthcare,Drugs & Pharma,2022-06-16,410.85,-2.03,401.1,749.75,"3,852.16","4,222.41"
Aarti Industries Ltd.,524208,AARTIIND,INE769A01020,Chemicals,Organic Chemicals,2022-06-16,691.85,-3.06,685,"1,168.40","25,244.78","28,305.25"
Aarti Surfactants Ltd.,543210,AARTISURF,INE09EO01013,Chemicals,Organic Chemicals,2022-06-16,644.5,-3.18,632.1,"1,887.00",501.86,648.47
Aarvee Denims & Exports Ltd.,514274,AARVEEDEN,INE273D01019,Textiles,Readymade Garments,2022-06-16,19.9,-7.66,16.75,33.4,46.8,464.45
Aarvi Encon Ltd.,,AARVI,INE754X01016,Services,Misc.Other Services,2022-06-16,99.35,0.15,,,146.29,126.24
AARV Infratel Ltd.,526488,,INE432N01010,Textiles,Misc.Textiles,2022-03-25,2.36,4.08,2.36,2.36,1.08,1.56
Aashka Hospitals Ltd.,543346,,INE0EAX01014,Healthcare,Health Services,2022-06-16,39.3,-2,38,121.1,93.48,118.78
Aastamangalam Finance Ltd.,511764,,INE819K01014,Financial,Equipment Leasing,2022-06-16,13,-7.14,10.7,22.15,6.16,5.85
Aavas Financiers Ltd.,541988,AAVAS,INE216P01012,Financial,Housing Finance,2022-06-16,"1,955.40",-2.46,"1,945.00","3,340.00","15,468.43","21,075.98"
Aayush Food & Herbs Ltd.,539528,,INE430R01015,Consumer Staples,Personal Care,2022-06-16,23,-2.95,19.05,33,7.46,9.62
Aban Offshore Ltd.,523204,ABAN,INE421A01028,Energy,Offshore Drilling,2022-06-16,46.1,-4.65,37,74.9,267.9,"15,392.00"
ABans Enterprises Ltd.,512165,,INE365O01010,Consumer Discretionary,"Gems, Jewellery & Accessories",2022-06-16,99,-3.37,72.1,181.55,139.5,194.56
Abate AS Industries Ltd.,531658,,INE454E01013,Financial,Misc. Fin.services,2022-06-14,10.28,2.9,5.36,12.05,5.16,5.19
ABB India Ltd.,500002,ABB,INE117A01022,Capital Goods,Switching Equipment,2022-06-16,"2,243.95",-2.64,"1,618.05","2,488.45","47,444.17","46,147.60"
Abbott India Ltd.,500488,ABBOTINDIA,INE358A01014,Healthcare,Drugs & Pharma,2022-06-16,"17,955.15",0.25,"15,514.00","23,934.45","38,279.56","35,623.70"
ABC Gas (International) Ltd.,513119,,INE173M01012,Metals & Mining,Non-Ferrous Metal,2022-05-16,12.6,0,6.75,13.65,2.49,3.92
ABC India Ltd.,520123,,INE125D01011,Services,Road Transport,2022-06-16,69.6,0.36,65,127.65,37.65,38.71
AB Cotspin India Ltd.,,ABCOTS,INE08PH01015,Textiles,Textile Processing,2022-06-16,36,2.56,,,37.05,72.12
Abhinav Capital Services Ltd.,532057,,INE516F01016,Financial,Investment Services,2022-06-16,233.75,-5,27.7,301.15,161.86,155.7
Abhinav Leasing & Finance Ltd.,538952,,INE211D01027,Financial,Misc. Fin.services,2022-06-16,2.55,-3.77,0.91,5.16,13.39,12.51
